POP_2018	PROCOM	PRO_COM_110	SUP	SUP_URB
2872800	058091	58091	1287,3586	509,15476577826996
1366180	015146	15146	181,6727	147,987113247298
966144	063049	63049	119,0233	105,83989982069049
882523	001272	1272	130,0111	113,8964203444229
668405	082053	82053	160,5924	88,5634224224244
580097	010025	10025	240,2918	79,5628394445316
389261	037006	37006	140,8588	78,00462412161066
380948	048017	48017	102,3187	61,98805798520972
323370	072006	72006	117,38950000000001	59,6933998731293
311620	087015	87015	182,90009999999998	63,6322434689179
261321	027042	27042	415,8988	76,75694814261098
257275	023091	23091	198,91639999999998	59,597133691950866
234293	083048	83048	213,75369999999998	44,5505792071542
210440	028060	28060	93,02600000000001	75,0516331507557
204338	032006	32006	85,10510000000001	40,649111778552495
198283	073027	73027	249,8574	65,8821344360407
196745	017029	17029	90,3351	53,705755697147524
195687	034027	34027	260,6018	49,4308107214052
193325	100005	100005	97,3525	43,9569150513041
185273	036023	36023	183,19349999999997	48,21851371957012
181447	080063	80063	239,0407	59,28933858594113
171944	035033	35033	230,66279999999998	54,69626306831987
165683	054039	54039	449,50839999999994	68,07029147019401
159115	039014	39014	653,822	61,36718710250262
158371	049009	49009	104,50030000000001	37,63959145567912
154106	092009	92009	85,01379999999999	27,876907036002752
151372	071024	71024	509,2632	24,203693236621902
149403	099014	99014	135,70680000000002	34,386640094675016
133970	065116	65116	59,852799999999995	22,4413930443082
132278	038008	38008	405,155	54,8007304968473
126769	090064	90064	547,0418	44,0360318216229
126470	059011	59011	277,6222	50,83735911323618
124361	063034	63034	94,6243	19,60941941773728
123598	108033	108033	33,0871	20,190249346924578
121605	089017	89017	207,7786	31,407738654310098
120923	016024	16024	40,1579	25,4305378291963
119217	068028	68028	34,363	26,550784169606402
117997	022205	22205	157,87709999999998	31,768732073546396
117863	040012	40012	228,20080000000002	41,824132923870266
111620	024116	24116	80,5704	29,359773171107232
111189	055032	55032	212,4343	34,58476816099265
107317	021008	21008	52,2917	13,253016245422799
104183	003106	3106	103,0508	28,4758090678382
103082	033032	33032	118,23559999999999	32,091761825616295
100924	042002	42002	124,8416	23,90403539830136
99857	110001	110001	402,889	10,6718489973914
99518	030129	30129	57,1717	47,2593504187723
99419	051002	51002	384,69559999999996	39,6390496960617
96760	040007	40007	249,46529999999998	36,76432290345139
95441	075035	75035	241,0023	40,1434215745254
94958	041044	41044	126,7705	24,79083201626128
94477	110002	110002	149,35379999999998	10,7869039707503
93980	006003	6003	203,56869999999998	30,013010160884
93311	011015	11015	51,393	18,105817804682815
90195	047014	47014	236,16729999999998	30,440390570445462
90118	050026	50026	185,1823	30,283098218908748
89718	079023	79023	112,7244	28,9957907639835
89288	058047	58047	79,4731	16,9631517516344
89243	046017	46017	185,7909	51,71755298341428
87141	074001	74001	332,9832	30,3951191800217
85332	063084	63084	30,6333	20,4072141136208
84954	026086	26086	55,579499999999996	26,58784346661113
83405	012026	12026	30,6602	21,1886508179924
83320	013075	13075	37,118	30,985715529658
82802	081011	81011	243,2617	61,053098337678215
82036	053011	53011	473,5532	21,66800846740737
81773	015209	15209	11,699300000000001	11,2091882264611
81141	063060	63060	43,438100000000006	19,3750040838086
80544	012133	12133	54,8401	29,040253047754216
79630	058120	58120	213,8944	37,53728737808659
77087	063023	63023	12,130799999999999	9,25525633036075
77076	078157	--	346,5586	23,960945825223853
76211	005005	5005	151,3136	24,61119093781318
75723	015077	15077	12,724300000000001	9,95606931420574
75561	061022	61022	54,0695	19,651832393185497
74858	085007	85007	279,0712	20,0772510884322
74190	059001	59001	178,1119	39,982409562456695
73638	088009	88009	444,6664	24,568369388026102
72773	018110	18110	63,2447	16,03598211385901
