nomefile,data,tipo,url
Bolletino-sorveglianza-integrata-COVID-19_09-marzo-2020_appendix.pdf,09-marzo-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_09-marzo-2020_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_1-giugno-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_1-giugno-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_1-giugno-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_1-settembre-2020_appendix.pdf,1-settembre-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_1-settembre-2020_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_1-settembre-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_1-settembre-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_1-settembre-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_10-febbraio-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_10-febbraio-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_10-febbraio-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_10-marzo-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_10-marzo-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_10-marzo-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_11-agosto-2020_appendix.pdf,11-agosto-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_11-agosto-2020_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_11-agosto-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_11-agosto-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_11-agosto-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_11-novembre-2020_appendix.pdf,11-novembre-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_11-novembre-2020_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_12-maggio-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_12-maggio-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_12-maggio-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_12-marzo-2020_appendix.pdf,12-marzo-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_12-marzo-2020_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_13-gennaio-2021_appendix.pdf,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_13-gennaio-2021_appendix.pdf,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_13-gennaio-2021_appendix.pdf
Bolletino-sorveglianza-integrata-COVID-19_13-ottobre-2020_appendix.pdf,13-ottobre-2020,appendice,https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_13-ottobre-2020_appendix.pdf
