"Trentino-Alto Adige/Südtirol","Trento","Riva del Garda","2040831420","776742930523716602","F81B21002390005","16.000","No","5.000.000,00","-","5.000.000,00","120.000,00","B","01/06/2021","Sì","-","98,61674198"
"Piemonte","Alessandria","Casale Monferrato","1010020380","553642930530697802","J31B21001060001","28.000","No","1.650.000,00","-","1.650.000,00","31.720,00","B","27/05/2021","Sì","-","98,61026044"
"Piemonte","Alessandria","Casale Monferrato","1010020380","553642930530697802","J35F21000690005","11.121","Sì","2.700.000,00","60.000,00","2.640.000,00","71.625,03","B","27/05/2021","Sì","-","98,61026044"
"Piemonte","Alessandria","Casale Monferrato","1010020380","553642930530697802","J37J18000000005","2.330","No","615.000,00","-","615.000,00","-","B","27/05/2021","Sì","-","98,61026044"
"Umbria","Terni","Orvieto","3100800230","122342929604572701","I44E21002090001","11.965","No","4.846.736,00","-","4.846.736,00","437.736,00","B","04/06/2021","Sì","-","98,59454965"
"Sardegna","Sassari","Alghero","5200730030","955342928159200301","G19J20001070005","2.500","No","1.500.000,00","-","1.500.000,00","96.104,79","B","01/06/2021","Sì","-","98,59427689"
"Sardegna","Sassari","Alghero","5200730030","955342928159200301","G19I20000250005","1.696","Sì","3.170.102,45","44.737,77","3.125.364,68","238.601,37","B","01/06/2021","Sì","-","98,59427689"
"Emilia-Romagna","Parma","Fidenza","2080560140","228042930508088301","B54E18000350001","6.000","No","3.750.000,00","-","3.750.000,00","125.000,00","B","04/06/2021","Sì","-","98,58825472"
"Emilia-Romagna","Parma","Fidenza","2080560140","228042930508088301","B57H21001530001","4.000","No","1.250.000,00","-","1.250.000,00","76.128,00","A","04/06/2021","Sì","-","98,58825472"
"Trentino-Alto Adige/Südtirol","Bolzano/Bozen","Laives/Leifers","2040140370","772842930545597801","E18C18000270004","11.139","Sì","14.953.102,87","9.953.102,87","5.000.000,00","895.187,33","A","01/06/2021","Sì","-","98,57878121"
"Lombardia","Milano","Sesto San Giovanni","1030492080","148342930537454201","C47H21001140001","5.305","No","5.866.553,68","-","5.866.553,68","284.393,68","B","03/06/2021","Sì","-","98,5753864"
"Lombardia","Milano","Sesto San Giovanni","1030492080","148342930537454201","C47H21001150001","4.290","No","4.123.200,00","-","4.123.200,00","211.600,00","B","03/06/2021","Sì","-","98,5753864"
"Piemonte","Alessandria","Valenza","1010021740","251842930470777901","J63D21000550001","20.240","No","443.000,00","-","443.000,00","42.671,08","B","03/06/2021","Sì","-","98,56049364"
"Piemonte","Alessandria","Valenza","1010021740","251842930470777901","J64E21000710001","2.829","No","4.356.000,00","-","4.356.000,00","410.576,63","A","03/06/2021","Sì","-","98,56049364"
"Piemonte","Torino","Chieri","1010810760","705042930520388601","J54E21000740005","37.000","Sì","5.200.000,00","200.000,00","5.000.000,00","142.000,00","B","03/06/2021","Sì","-","98,56027576"
"Veneto","Padova","Monselice","2050540550","115242930543567601","B46E19000510001","250","No","856.000,00","-","856.000,00","24.862,50","A","09/06/2021","Sì","-","98,55446241"
"Veneto","Padova","Monselice","2050540550","115242930543567601","B49J21003030001","2.534","Sì","640.000,00","159.000,00","481.000,00","22.815,00","B","09/06/2021","Sì","-","98,55446241"
"Veneto","Padova","Monselice","2050540550","115242930543567601","B44B17000070005","750","No","2.885.000,00","-","2.885.000,00","71.662,50","A","09/06/2021","Sì","-","98,55446241"
"Veneto","Padova","Monselice","2050540550","115242930543567601","B43D21001590001","1.200","No","270.000,00","-","270.000,00","14.510,95","A","09/06/2021","Sì","-","98,55446241"
"Veneto","Padova","Monselice","2050540550","115242930543567601","B41B20000720004","800","Sì","600.000,00","92.000,00","508.000,00","13.790,50","A","09/06/2021","Sì","-","98,55446241"
"Lombardia","Varese","Saronno","1030861010","238742930478203001","E78I21000090001","20.000","No","5.000.000,00","-","5.000.000,00","200.000,00","B","28/05/2021","Sì","-","98,55126413"
"Marche","Ancona","Castelfidardo","3110030100","153642930516703902","G28E18000120005","420","No","1.400.000,00","-","1.400.000,00","50.000,00","B","08/06/2021","Sì","-","98,53721116"
"Marche","Ancona","Castelfidardo","3110030100","153642930516703902","G25F21000820001","840","No","800.000,00","-","800.000,00","80.000,00","A","08/06/2021","Sì","-","98,53721116"
"Marche","Ancona","Castelfidardo","3110030100","153642930516703902","G21B21002480001","600","No","1.200.000,00","-","1.200.000,00","55.000,00","A","08/06/2021","Sì","-","98,53721116"
"Marche","Ancona","Castelfidardo","3110030100","153642930516703902","G26B19003300004","610","No","650.000,00","-","650.000,00","20.000,00","B","08/06/2021","Sì","-","98,53721116"
"Marche","Ancona","Castelfidardo","3110030100","153642930516703902","G21B21002530001","800","No","900.000,00","-","900.000,00","44.020,00","B","08/06/2021","Sì","-","98,53721116"
"Veneto","Vicenza","Arzignano","2050900080","278642930515756102","F31B17000420004","1.250","No","500.000,00","-","500.000,00","37.335,32","C","17/05/2021","Sì","-","98,53390699"
"Umbria","Perugia","Corciano","3100580150","244342930520360501","D37H21001430001","36.000","No","2.300.000,00","-","2.300.000,00","111.256,00","C","25/05/2021","Sì","-","98,50382333"
"Veneto","Padova","Cittadella","2050540320","797242930530108302","C81B21005120001","5.970","No","1.500.000,00","-","1.500.000,00","26.001,25","A","01/06/2021","Sì","-","98,49673259"
"Veneto","Padova","Cittadella","2050540320","797242930530108302","C81B21005130001","8.048","No","1.040.000,00","-","1.040.000,00","18.334,36","A","01/06/2021","Sì","-","98,49673259"
"Veneto","Padova","Cittadella","2050540320","797242930530108302","C85F21000200001","4.550","No","973.800,00","-","973.800,00","23.841,15","B","01/06/2021","Sì","-","98,49673259"
"Veneto","Padova","Cittadella","2050540320","797242930530108302","C85F21000210001","2.453","No","570.000,00","-","570.000,00","38.117,53","B","01/06/2021","Sì","-","98,49673259"
"Veneto","Padova","Cittadella","2050540320","797242930530108302","C85F21000190001","382","No","907.000,00","-","907.000,00","38.062,08","B","01/06/2021","Sì","-","98,49673259"
"Emilia-Romagna","Bologna","Bologna","2080130060","935842930534066701","F37H21001910001","4.700","No","6.000.000,00","-","6.000.000,00","300.000,00","A","01/06/2021","Sì","-","98,48879937"
"Emilia-Romagna","Bologna","Bologna","2080130060","935842930534066701","F37H21001890001","26.680","No","9.000.000,00","-","9.000.000,00","260.000,00","A","01/06/2021","Sì","-","98,48879937"
"Emilia-Romagna","Bologna","Bologna","2080130060","935842930534066701","F37H21001900001","2.094","No","5.000.000,00","-","5.000.000,00","160.000,00","A","01/06/2021","Sì","-","98,48879937"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002870001","1.300","No","1.000.000,00","-","1.000.000,00","60.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002910001","340","No","150.000,00","-","150.000,00","15.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002920001","870","No","150.000,00","-","150.000,00","5.000,00","C","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002900001","11.000","No","600.000,00","-","600.000,00","30.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B61B21001980001","4.250","No","300.000,00","-","300.000,00","10.000,00","C","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B63D21002640001","375","No","100.000,00","-","100.000,00","10.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B64E21003910001","5.600","No","600.000,00","-","600.000,00","40.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002880001","1.800","No","100.000,00","-","100.000,00","10.000,00","C","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B67H21002890001","2.300","No","350.000,00","-","350.000,00","20.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B65F21000580001","1.100","No","500.000,00","-","500.000,00","30.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B63D21002650001","225","No","100.000,00","-","100.000,00","10.000,00","B","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B61B21001970001","3.600","No","400.000,00","-","400.000,00","10.000,00","C","04/06/2021","Sì","-","98,48669708"
"Lombardia","Varese","Samarate","1030861000","427142930455661602","B61B18000390004","900","No","150.000,00","-","150.000,00","10.000,00","C","04/06/2021","Sì","-","98,48669708"
"Piemonte","Torino","Giaveno","1010811130","728442930520123101","F61B21001910001","3.250","Sì","580.000,00","12.688,00","567.312,00","37.937,12","B","04/06/2021","Sì","-","98,48608745"
