"Emilia-Romagna","Forlì-Cesena","Forlì","2080320110","287942930465536202","C65C19000720004","1.500","Sì","2.000.000,00","500.000,00","1.500.000,00","100.000,00","B","03/06/2021","Sì","-","99,33336154"
"Emilia-Romagna","Forlì-Cesena","Forlì","2080320110","287942930465536202","C61B19000470004","2.750","No","1.000.000,00","-","1.000.000,00","40.000,00","B","03/06/2021","Sì","-","99,33336154"
"Emilia-Romagna","Forlì-Cesena","Forlì","2080320110","287942930465536202","C66J20001810004","1.200","Sì","1.850.000,00","350.000,00","1.500.000,00","100.000,00","B","03/06/2021","Sì","-","99,33336154"
"Emilia-Romagna","Forlì-Cesena","Forlì","2080320110","287942930465536202","C65E20001060004","2.500","Sì","1.500.000,00","350.000,00","1.150.000,00","70.000,00","B","03/06/2021","Sì","-","99,33336154"
"Emilia-Romagna","Forlì-Cesena","Forlì","2080320110","287942930465536202","C64E19000270004","4.000","Sì","4.000.000,00","300.000,00","3.700.000,00","150.000,00","B","03/06/2021","Sì","-","99,33336154"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B19J21002250001","6.300","No","819.500,00","-","819.500,00","74.391,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B19J21002260001","3.860","No","600.000,00","-","600.000,00","69.541,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B14E21002700001","995","No","1.500.000,00","-","1.500.000,00","259.352,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B14E21002690001","1.100","No","2.080.000,00","-","2.080.000,00","296.421,00","B","03/06/2021","Sì","-","99,3292919"
"Toscana","Firenze","Sesto Fiorentino","3090300430","852542930524117702","B91B21001070001","2.500","No","325.000,00","-","325.000,00","-","C","24/05/2021","Sì","-","99,32803315"
"Lombardia","Monza e della Brianza","Limbiate","1030491200","217842930542664701","E83D21001320005","2.800","Sì","8.500.000,00","3.500.000,00","5.000.000,00","200.000,00","B","03/06/2021","Sì","-","99,32422363"
"Emilia-Romagna","Modena","Modena","2080500230","919642928043962401","D93D21003370005","8.100","Sì","13.081.755,87","1.881.755,87","11.200.000,00","115.900,00","A","28/05/2021","Sì","-","99,31243385"
"Emilia-Romagna","Modena","Modena","2080500230","919642928043962401","D93D21003360005","1.355","Sì","2.698.560,00","698.560,00","2.000.000,00","42.700,00","A","28/05/2021","Sì","-","99,31243385"
"Emilia-Romagna","Modena","Modena","2080500230","919642928043962401","D93D21003350005","2.723","Sì","9.250.564,70","2.450.564,70","6.800.000,00","-","A","28/05/2021","Sì","-","99,31243385"
"Toscana","Pistoia","Monsummano Terme","3090630090","926142929531151402","E93D21001410001","12.130","No","2.100.000,00","-","2.100.000,00","-","B","01/06/2021","Sì","-","99,31204431"
"Toscana","Pistoia","Monsummano Terme","3090630090","926142929531151402","E92C21001000001","1.580","No","700.000,00","-","700.000,00","-","A","01/06/2021","Sì","-","99,31204431"
"Toscana","Pistoia","Monsummano Terme","3090630090","926142929531151402","E97H21001960001","4.650","No","680.000,00","-","680.000,00","-","B","01/06/2021","Sì","-","99,31204431"
"Toscana","Arezzo","Montevarchi","3090050260","458842930456663701","E71B21002060005","24.238","Sì","1.808.957,26","54.158,42","1.754.798,84","63.184,82","A","01/06/2021","Sì","-","99,31163592"
"Toscana","Arezzo","Montevarchi","3090050260","458842930456663701","E71B08000300002","5.980","Sì","3.264.000,00","563.798,84","2.700.201,16","263.353,80","C","01/06/2021","Sì","-","99,31163592"
"Emilia-Romagna","Modena","Maranello","2080500190","323042929488733102","F57H21001250001","87","No","125.000,00","-","125.000,00","12.500,00","B","28/05/2021","Sì","-","99,287865"
"Emilia-Romagna","Modena","Maranello","2080500190","323042929488733102","F51B21000840001","3.000","No","900.000,00","-","900.000,00","90.000,00","C","28/05/2021","Sì","-","99,287865"
"Emilia-Romagna","Modena","Maranello","2080500190","323042929488733102","F57H21001260001","284","No","370.000,00","-","370.000,00","37.000,00","A","28/05/2021","Sì","-","99,287865"
"Emilia-Romagna","Rimini","Rimini","2081010140","639142930529139001","C91B20000930001","70.560","No","20.000.000,00","-","20.000.000,00","-","A","01/06/2021","Sì","-","99,28152959"
"Emilia-Romagna","Modena","Mirandola","2080500220","147642929372880402","I86B14000060004","3.035","Sì","5.000.000,00","2.500.000,00","2.500.000,00","333.954,64","B","04/06/2021","Sì","-","99,27255982"
"Emilia-Romagna","Modena","Mirandola","2080500220","147642929372880402","I84E21002180001","14.500","No","1.269.290,00","-","1.269.290,00","82.500,00","C","04/06/2021","Sì","-","99,27255982"
