"Umbria","Perugia","Foligno","3100580180","324942930516603101","C61B21003590005","48.331","No","999.900,00","-","999.900,00","142.000,00","B","01/06/2021","Sì","-","99,86","35.222,54","155.627,17","324.064,46","205.543,30","149.066,47","130.376,05"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C61B21003650001","700","No","871.000,00","-","871.000,00","94.853,60","B","01/06/2021","Sì","-","99,86","35.222,54","50.802,29","245.927,28","228.455,51","165.683,13","144.909,26"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C69J21016740001","390.000","No","990.000,00","-","990.000,00","142.000,00","B","01/06/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","99,86","35.222,54","81.633,14","273.632,93","254.080,73","184.267,34","161.163,33"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C69J21016730001","4.737","No","993.000,00","-","993.000,00","76.212,00","B","01/06/2021","Sì","-","99,86","35.222,54","50.802,29","265.954,74","271.672,80","197.025,66","172.321,97"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C62C21001090001","16.973","No","485.000,00","-","485.000,00","46.752,47","A","01/06/2021","Sì","-","99,86","14.089,01","109.730,37","144.670,61","91.759,75","66.547,06","58.203,18"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C61B21003670001","1.000","No","731.500,00","-","731.500,00","79.661,78","B","01/06/2021","Sì","-","99,86","-","15.415,42","113.990,13","255.175,46","185.061,27","161.857,71"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C69J21016760001","224.000","No","973.100,00","-","973.100,00","139.100,00","B","01/06/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","99,86","35.222,54","66.217,71","259.780,10","259.322,56","188.068,88","164.488,22"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C61B21003680001","5.000","No","995.000,00","-","995.000,00","108.357,44","B","01/06/2021","Sì","-","99,86","-","-","20.027,46","266.990,56","377.667,56","330.314,42"
"Umbria","Perugia","Foligno","3100580180","324942930516603101","C69J21016650001","840","No","800.000,00","-","800.000,00","92.700,00","A","01/06/2021","Sì","-","99,86","35.222,54","81.633,14","233.578,00","190.532,06","138.179,84","120.854,42"
"Marche","Fermo","Porto San Giorgio","3110060600","807642930479770802","J67H21003710001","1","No","4.000.000,00","-","4.000.000,00","329.400,00","C","04/06/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","99,86","-","1.233.233,92","1.108.225,99","702.910,87","509.773,08","445.856,14"
"Marche","Fermo","Porto San Giorgio","3110060600","807642930479770802","J67H21003720001","1.717","No","1.000.000,00","-","1.000.000,00","65.392,00","B","04/06/2021","Sì","-","99,86","-","308.308,48","277.056,50","175.727,72","127.443,27","111.464,04"
"Toscana","Pistoia","Quarrata","3090630161","145542930449651701","C83D21002540005","17.533","Sì","2.450.000,00","153.296,00","2.296.704,00","101.504,00","B","03/06/2021","Sì","-","99,84","-","165.165,54","853.786,06","541.528,09","392.733,21","343.491,10"
"Toscana","Pistoia","Quarrata","3090630161","145542930449651701","C84E21000400005","1.615","Sì","2.880.000,00","177.120,00","2.702.880,00","126.880,00","B","03/06/2021","Sì","-","99,84","-","195.388,65","1.004.373,70","637.040,81","462.002,05","404.074,79"
"Emilia-Romagna","Modena","Vignola","2080500450","178142930528847201","F51B20000200004","6.820","Sì","1.000.000,00","24.174,00","975.826,00","20.575,00","C","31/05/2021","Sì","-","99,84","264.750,89","34.245,40","271.103,61","171.952,00","124.705,00","109.069,10"
"Emilia-Romagna","Modena","Vignola","2080500450","178142930528847201","F51B21001580005","5.500","Sì","900.000,00","24.000,00","876.000,00","20.000,00","C","31/05/2021","Sì","-","99,84","4.226,70","108.454,69","305.746,67","193.924,94","140.640,47","123.006,53"
"Abruzzo","L'Aquila","Avezzano","4130380060","925142930521019702","J34E21000740005","8.826","Sì","7.500.000,00","2.500.000,00","5.000.000,00","190.320,00","A","04/06/2021","Sì","-","99,84","-","770.771,20","1.694.014,29","1.074.456,89","779.229,95","681.527,67"
"Puglia","Lecce","Galatina","4160410280","161942930458787802","H29J21002800001","2.200","No","200.000,00","-","200.000,00","15.000,00","B","04/06/2021","Sì","-","99,83","-","30.830,85","67.760,57","42.978,28","31.169,20","27.261,11"
"Puglia","Lecce","Galatina","4160410280","161942930458787802","H29J21002790001","35.400","No","2.574.666,34","-","2.574.666,34","176.946,78","B","04/06/2021","Sì","-","99,83","-","198.447,69","436.151,76","549.430,57","741.824,28","648.812,04"
