Quadro PNRR e Piano Complementare aggiornato al 30 settembre 2021,,,,,,,,,,,
cod. Missione,cod. componente,Nome progetto tavola PNRR,Tipologia,Misura PNRR ufficiale (ITA),Amministrazione titolare,"Progetti in essere
(Mln€)","FSC
(Mln€)","Nuovi progetti
(Mln€)","Totale PNRR
(Mln€)
(a)","Fondo complementare 
(Mln€)
(b)","Totale 
(Mln€)
(a+b)"
M1,C1,Digitalizzazione della Pubblica Amministrazione,Investimento,1.1: Infrastrutture digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","900,00","900,00","0,00","900,00"
,,,Riforma,1.2: Supporto alla trasformazione delle PA locali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","155,00","155,00",,
,,,Sub-Riforma,1.2.1: Ufficio Trasformazione,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","155,00","155,00","0,00","155,00"
,,,Investimento,1.2: Abilitazione e facilitazione migrazione al Cloud,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","1000,00","1000,00","0,00","1000,00"
,,,Investimento,1.3: Dati e interoperabilità,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","646,00","646,00",,
,,,Sub-Investimento,1.3.1: Piattaforma nazionale digitale dei dati,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","556,00","556,00","0,00","556,00"
,,,Sub-Investimento,1.3.2: Single Digital Gateway,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","90,00","90,00","0,00","90,00"
,,,Investimento,1.4: Servizi digitali e cittadinanza digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","2013,00","2013,00",,
,,,Sub-Investimento,1.4.1: Citizen experience - Miglioramento della qualità e dell'usabilità dei servizi pubblici digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","613,00","613,00","0,00","613,00"
,,,Sub-Investimento,1.4.2: Citizen inclusion - Miglioramento dell'accessibilità dei servizi pubblici digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","80,00","80,00","0,00","80,00"
,,,Sub-Investimento,1.4.3: Servizi digitali e cittadinanza digitale - piattaforme e applicativi,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","750,00","750,00","0,00","750,00"
,,,Sub-Investimento,"1.4.4: Estensione dell'utilizzo delle piattaforme nazionali di Identità Digitale (SPID, CIE) e dell'anagrafe nazionale digitale (ANPR)","PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","285,00","285,00","0,00","285,00"
,,,Sub-Investimento,1.4.5: Piattaforma Notifiche Digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","245,00","245,00","0,00","245,00"
,,,Sub-Investimento,1.4.6: Mobility as a service for Italy,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","40,00","40,00","0,00","40,00"
,,,Investimento,Servizi digitali e cittadinanza digitale,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)",,,,"0,00","350,00","350,00"
,,,Investimento,Servizi digitali e competenze digitali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)",,,,"0,00","250,00","250,00"
,,,Investimento,“Polis” - Case dei servizi di cittadinanza digitale,Ministero dello Sviluppo Economico (MiSE),,,,,"800,00","800,00"
,,,Investimento,1.5: Cybersecurity,PCM - Ministro per l’innovazione tecnologica e la transizione digitale (MITD) in collaborazione con PCM-DIS,"0,00","0,00","623,00","623,00","0,00","623,00"
,,,Investimento,1.6: Digitalizzazione delle grandi amministrazioni centrali,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","611,20","611,20",,
,,,Sub-Investimento,1.6.1: Digitalizzazione del Ministero dell'Interno,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","107,00","107,00","0,00","107,00"
,,,Sub-Investimento,1.6.2: Digitalizzazione del Ministero della Giustizia,"PCM - Ministro per 
l’innovazione tecnologica e la 
transizione digitale (MITD)","0,00","0,00","133,20","133,20","0,00","133,20"
