pa,titolo,dataApertura,dataChiusura,URL,dataAperturaDate,dataChiusuraDate
Ministero della Transizione ecologica,AVVISO M2C.1.1 I 1.1 Linea d’Intervento A “Miglioramento e meccanizzazione della rete di raccolta differenziata dei rifiuti urbani”,14/12/21,14/02/22,https://www.mite.gov.it/sites/default/files/archivio/bandi/ECI/TESTO_COORDINATO_AVVISO_M2C1_1I1_1-LINEA_A.pdf,2021-12-14,2022-02-14
Ministero della Transizione ecologica,AVVISO M2C.1.1 I 1.1 Linea d’Intervento B “Ammodernamento (anche con ampliamento di impianti esistenti) e realizzazione di nuovi impianti di trattamento/riciclo dei rifiuti urbani provenienti dalla raccolta differenziata”,14/12/21,14/02/22,https://www.mite.gov.it/sites/default/files/archivio/bandi/ECI/TESTO_COORDINATO_AVVISO_M2C1_1I1_1-LINEA_B.pdf,2021-12-14,2022-02-14
Ministero della Transizione ecologica,"AVVISO M2C.1.1 I 1.1 Linea d’Intervento C “Ammodernamento (anche con ampliamento di impianti esistenti) e realizzazione di nuovi impianti innovativi di trattamento/riciclaggio per lo smaltimento di materiali assorbenti ad uso personale (PAD), i fanghi di acque reflue, i rifiuti di pelletteria e i rifiuti tessili”.",14/12/21,14/02/22,https://www.mite.gov.it/sites/default/files/archivio/bandi/ECI/TESTO_COORDINATO_AVVISO_M2C1_1I1_1-LINEA_C.pdf,2021-12-14,2022-02-14
Ministero delle Politiche giovanili,"Bando per la selezione di 56.205 operatori volontari da impiegare in progetti relativi a programmi di intervento di Servizio civile universale da realizzarsi in Italia, all’estero, nei territori delle regioni interessate dal Programma Operativo Nazionale - Iniziativa Occupazione Giovani (PON-IOG “Garanzia Giovani” – Misura 6 bis) e in programmi di intervento specifici per la sperimentazione del “Servizio civile digitale”",14/12/21,26/01/22,https://www.politichegiovanili.gov.it/comunicazione/avvisi-e-bandi/servizio-civile/bandi-di-selezione-volontari/bando-ordinario-2021,2021-12-14,2022-01-26
Ministero delle Infrastrutture e mobilità sostenibili,"Interventi di manutenzione straordinaria ed efficientamento energetico dell’edificio sede del Tribunale in piazza F.U. Di Blasi. Attività di diagnosi energetica, comprensivo di rilievo geometrico, tecnologico e impiantistico CUP: D69J21000390001 - SMART CIG: Z5E33B4AFA.",14/12/21,13/01/22,https://trasparenza.mit.gov.it/index.php?id_oggetto=11&id_doc=275820,2021-12-14,2022-01-13
Ministero della Giustizia,"Interventi di manutenzione straordinaria ed efficientamento energetico dell’edificio sede del Tribunale in piazza F.U. Di Blasi. Attività di diagnosi energetica, comprensivo di rilievo geometrico, tecnologico e impiantistico CUP: D69J21000390001 - SMART CIG: Z5E33B4AFA.",14/12/21,13/01/22,https://trasparenza.mit.gov.it/index.php?id_oggetto=11&id_doc=275820,2021-12-14,2022-01-13
Ministero della Transizione ecologica,Isole Verdi,14/12/21,13/04/22,https://www.mite.gov.it/pagina/pnrr-isole-verdi,2021-12-14,2022-04-13
Ministero dell'Istruzione,"Realizzazione di Nuove Scuole, innovative, sostenibili, sicure e inclusive",03/12/21,08/02/22,https://pnrr.istruzione.it/avviso/nuove-scuole/,2021-12-03,2022-02-08
Ministero dell'Istruzione,Avviso Pubblico per aumentare l'offerta di attività sportive a scuola,02/12/21,28/02/22,https://pnrr.istruzione.it/avviso/potenziamento-delle-infrastrutture-per-lo-sport-a-scuola,2021-12-02,2022-02-28
Ministero dell'Istruzione,Avviso Pubblico per aumentare l'offerta di servizi educativi nella fascia 0-6,02/12/21,28/02/22,https://pnrr.istruzione.it/wp-content/uploads/2021/11/m_pi.AOODGEFID.REGISTRO-UFFICIALEU.0048047.02-12-2021.pdf,2021-12-02,2022-02-28
